timestamp,open,high,low,close
2025-11-20 00:00:00+00:00,4104.64,4109.07,4104.505,4108.48
2025-11-20 00:01:00+00:00,4108.38,4110.195,4107.264999999999,4109.72
2025-11-20 00:02:00+00:00,4109.705,4110.18,4108.889999999999,4109.485
2025-11-20 00:03:00+00:00,4109.1535,4109.933499999999,4106.0585,4106.8435
2025-11-20 00:04:00+00:00,4106.833500000001,4106.89,4105.1485,4105.35
2025-11-20 00:05:00+00:00,4105.3285,4106.675,4103.8435,4106.655
2025-11-20 00:06:00+00:00,4106.68,4107.005,4104.8150000000005,4106.44
2025-11-20 00:07:00+00:00,4106.34,4108.245,4106.34,4108.205
2025-11-20 00:08:00+00:00,4108.219999999999,4108.805,4107.69,4107.93
2025-11-20 00:09:00+00:00,4107.725,4108.44,4106.575,4108.43
2025-11-20 00:10:00+00:00,4108.42,4109.3150000000005,4107.14,4107.35
2025-11-20 00:11:00+00:00,4107.28,4107.860000000001,4104.48,4105.0650000000005
2025-11-20 00:12:00+00:00,4105.02,4106.08,4103.92,4104.76
2025-11-20 00:13:00+00:00,4104.785,4105.645,4104.02,4104.29
2025-11-20 00:14:00+00:00,4104.26,4105.955,4103.51,4105.65
2025-11-20 00:15:00+00:00,4105.67,4106.885,4105.435,4105.46
2025-11-20 00:16:00+00:00,4105.435,4105.745,4105.378500000001,4105.71
2025-11-20 00:17:00+00:00,4105.705,4107.3,4105.6785,4107.275
2025-11-20 00:18:00+00:00,4107.295,4108.4,4106.47,4106.6
2025-11-20 00:19:00+00:00,4106.65,4108.375,4106.075,4107.66
2025-11-20 00:20:00+00:00,4107.63,4108.605,4106.97,4108.05
2025-11-20 00:21:00+00:00,4108.1,4108.275,4106.45,4107.64
2025-11-20 00:22:00+00:00,4107.67,4108.9400000000005,4106.9,4107.225
2025-11-20 00:23:00+00:00,4107.25,4108.885,4106.775,4108.035
2025-11-20 00:24:00+00:00,4108.08,4109.21,4108.08,4108.61
2025-11-20 00:25:00+00:00,4108.635,4108.8,4106.175,4106.46
2025-11-20 00:26:00+00:00,4106.495,4107.54,4106.495,4107.33
2025-11-20 00:27:00+00:00,4107.35,4107.615,4106.2865,4107.02
2025-11-20 00:28:00+00:00,4106.98,4107.504999999999,4106.59,4107.35
2025-11-20 00:29:00+00:00,4107.389999999999,4107.415000000001,4105.3,4105.67
2025-11-20 00:30:00+00:00,4105.635,4107.105,4105.4,4106.79
2025-11-20 00:31:00+00:00,4106.8615,4108.139999999999,4106.81,4106.82
